Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Stevertsemolen;161403.3778;384437.1304;Voorkeurslocatie;vrij parkeren;51.4489844814;5.47931550069;51.4489844814,5.47931550069
Schoolstraat;160840.5814;384375.5088;Voorkeurslocatie;vrij parkeren;51.4484367112;5.471218351;51.4484367112,5.471218351
Gildelaan;161199.3043;384303.9917;Active locatie;betaald parkeren;51.4477900297;5.47637745418;51.4477900297,5.47637745418
Lijmbeekstraat;160575.733;384184.7967;Voorkeurslocatie;vrij parkeren;51.4467251541;5.46740539591;51.4467251541,5.46740539591
Kleinakkerweg;159604.5647;383892.9475;Active locatie;betaald parkeren;51.4441106125;5.45343150369;51.4441106125,5.45343150369
Bergmannstraat;160698.3764;382230.4935;Active locatie;betaald parkeren;51.429157355;5.4691380458;51.429157355,5.4691380458
Karel de Stoutestraat;160028.3884;382370.995;Voorkeurslocatie;vrij parkeren;51.4304266616;5.45950610165;51.4304266616,5.45950610165
Fazantlaan;162130.269;383480.0246;Voorkeurslocatie;vrij parkeren;51.4403726496;5.48975287473;51.4403726496,5.48975287473
Le Sage ten Broeklaan;161766.3226;381768.3042;Voorkeurslocatie;vrij parkeren;51.4249910669;5.48448547573;51.4249910669,5.48448547573
Generaal Bentinckstraat;161762.224;386186.066;Active locatie;vrij parkeren;51.4647008448;5.48451124417;51.4647008448,5.48451124417
Joris Minnestraat;160771.1497;385902.9823;Active locatie;vrij parkeren;51.4621673509;5.47024454448;51.4621673509,5.47024454448
Wilgeboorderweg;164172.6654;384661.9501;Active locatie;vrij parkeren;51.450966984;5.51915901305;51.450966984,5.51915901305
